1,1,22,1 Noir,1,1,
2,1,30,1 Noir,-1,0,
3,2,24,1 Noir,0,1,
4,3,22,1 Noir,1,2,
5,1,36,1 Noir,-1,1,
6,2,14,1 Noir,-2,0,
7,3,5,1 Noir,-3,-1,
8,4,12,1 Noir,-4,-2,
9,5,14,1 Noir,-5,-3,
10,6,24,1 Noir,-4,-2,
11,7,19,1 Noir,-5,-3,
12,8,23,1 Noir,-6,-4,
13,9,31,1 Noir,-5,-3,
14,10,1,1 Noir,-6,-4,
15,11,25,2 Noir,-8,-6,
16,12,35,2 Noir,-6,-4,
17,13,6,2 Noir,-4,-2,
18,14,33,2 Noir,-2,0,
19,15,18,2 Noir,-4,-2,
20,16,25,2 Noir,-6,-4,
21,17,21,2 Noir,-8,-6,
22,18,10,2 Noir,-6,-4,
23,19,35,2 Noir,-4,-2,
24,20,20,2 Noir,-2,0,
25,21,25,3 Noir,-5,-3,
26,22,18,3 Noir,-8,-6,
27,23,8,3 Noir,-5,-3,
28,24,18,3 Noir,-8,-6,
29,25,35,3 Noir,-5,-3,
30,26,4,3 Noir,-2,0,
31,27,7,3 Noir,-5,-3,
32,28,36,3 Noir,-8,-6,
33,29,8,3 Noir,-5,-3,
34,30,8,3 Noir,-2,0,
35,31,15,4 Noir,2,4,
36,1,20,1 Noir,1,5,
37,1,14,1 Noir,-1,4,
38,2,32,1 Noir,-2,3,
39,3,3,1 Noir,-3,2,
40,4,9,1 Noir,-4,1,
41,5,6,1 Noir,-3,2,
42,6,29,1 Noir,-2,3,
43,7,30,1 Noir,-3,2,
44,8,0,1 Noir,-4,1,
45,9,23,1 Noir,-5,0,
46,10,35,1 Noir,-4,1,
47,11,16,2 Noir,-6,-1,
48,12,18,2 Noir,-8,-3,
49,13,3,2 Noir,-10,-5,
50,14,14,2 Noir,-12,-7,
51,15,23,2 Noir,-14,-9,
52,16,21,2 Noir,-16,-11,
53,17,33,2 Noir,-14,-9,
54,18,6,2 Noir,-12,-7,
55,19,9,2 Noir,-14,-9,
56,20,30,2 Noir,-16,-11,
57,21,23,3 Noir,-19,-14,
58,22,21,3 Noir,-22,-17,
59,23,21,3 Noir,-25,-20,
60,24,1,3 Noir,-28,-23,
61,25,32,3 Noir,-31,-26,
62,26,3,3 Noir,-34,-29,
63,27,24,3 Noir,-31,-26,
64,28,22,3 Noir,-28,-23,
65,29,9,3 Noir,-31,-26,
66,30,11,3 Noir,-28,-23,
67,31,16,4 Noir,-32,-27,
68,32,27,4 Noir,-36,-31,
69,33,22,4 Noir,-32,-27,
70,34,36,4 Noir,-36,-31,
71,35,29,4 Noir,-32,-27,
72,36,13,4 Noir,-28,-23,
73,37,24,4 Noir,-24,-19,
74,38,11,4 Noir,-20,-15,
75,39,29,4 Noir,-16,-11,
76,40,30,4 Noir,-20,-15,
77,41,36,5 Noir,-25,-20,
78,42,19,5 Noir,-30,-25,
79,43,36,5 Noir,-35,-30,
80,44,28,5 Noir,-30,-25,
81,45,13,5 Noir,-25,-20,
82,46,10,5 Noir,-20,-15,
83,47,18,5 Noir,-25,-20,
84,48,2,5 Noir,-20,-15,
85,49,7,5 Noir,-25,-20,
86,50,26,5 Noir,-20,-15,
87,51,12,6 Noir,-26,-21,
88,52,26,6 Noir,-20,-15,
89,53,35,6 Noir,-14,-9,
90,54,15,6 Noir,-8,-3,
91,55,9,6 Noir,-14,-9,
92,56,24,6 Noir,-8,-3,
93,57,26,6 Noir,-2,3,
94,58,12,6 Noir,-8,-3,
95,59,0,6 Noir,-11,-6,
96,60,4,6 Noir,-5,0,
97,61,21,7 Noir,-12,-7,
98,62,6,7 Noir,-5,0,
99,63,3,7 Noir,-12,-7,
100,64,6,7 Noir,-5,0,
101,65,24,7 Noir,2,7,
102,1,16,1 Noir,-1,6,
103,2,34,1 Noir,-2,5,
104,3,16,1 Noir,-3,4,
105,4,21,1 Noir,-4,3,
106,5,36,1 Noir,-5,2,
107,6,9,1 Noir,-6,1,
108,7,15,1 Noir,-5,2,
109,8,29,1 Noir,-4,3,
110,9,20,1 Noir,-3,4,
111,10,1,1 Noir,-4,3,
112,11,36,2 Noir,-6,1,
113,12,25,2 Noir,-8,-1,
114,13,17,2 Noir,-6,1,
115,14,31,2 Noir,-4,3,
116,15,10,2 Noir,-2,5,
117,16,27,2 Noir,-4,3,
118,17,8,2 Noir,-2,5,
119,18,24,2 Noir,0,7,
120,19,27,2 Noir,-2,5,
121,20,28,2 Noir,0,7,
122,21,31,3 Noir,3,10,
123,1,33,1 Noir,1,11,
124,1,7,1 Noir,-1,10,
125,2,12,1 Noir,-2,9,
126,3,19,1 Noir,-3,8,
127,4,21,1 Noir,-4,7,
128,5,13,1 Noir,-3,8,
129,6,12,1 Noir,-4,7,
130,7,12,1 Noir,-5,6,
131,8,2,1 Noir,-4,7,
132,9,9,1 Noir,-5,6,
133,10,12,1 Noir,-6,5,
134,11,21,2 Noir,-8,3,
135,12,32,2 Noir,-10,1,
136,13,2,2 Noir,-8,3,
137,14,31,2 Noir,-6,5,
138,15,11,2 Noir,-4,7,
139,16,27,2 Noir,-6,5,
140,17,18,2 Noir,-8,3,
141,18,22,2 Noir,-6,5,
142,19,19,2 Noir,-8,3,
143,20,30,2 Noir,-10,1,
144,21,22,3 Noir,-7,4,
145,22,1,3 Noir,-10,1,
146,23,20,3 Noir,-7,4,
147,24,11,3 Noir,-4,7,
148,25,10,3 Noir,-1,10,
1,1,22,1 Noir,1,1,
2,1,30,1 Noir,-1,0,
3,2,24,2 Noir,1,2,
4,1,22,1 Noir,1,3,
5,1,36,1 Noir,-1,2,
6,2,14,2 Noir,-3,0,
7,3,5,3 Noir,-6,-3,
8,4,12,4 Noir,-10,-7,
9,5,14,5 Noir,-15,-12,
10,6,24,6 Noir,-9,-6,
11,7,19,5 Noir,-14,-11,
12,8,23,6 Noir,-20,-17,
13,9,31,7 Noir,-13,-10,
14,10,1,6 Noir,-19,-16,
15,11,25,7 Noir,-26,-23,
16,12,35,8 Noir,-18,-15,
17,13,6,7 Noir,-11,-8,
18,14,33,6 Noir,-5,-2,
19,15,18,5 Noir,-10,-7,
20,16,25,6 Noir,-16,-13,
21,17,21,7 Noir,-23,-20,
22,18,10,8 Noir,-15,-12,
23,19,35,7 Noir,-8,-5,
