Boule num, Coup, Num, Mise, Bilan, Bilan Total
0,1,22,1,-1,-1
1,2,30,1,-2,-2
2,3,24,1,-3,-3
3,4,22,1,-4,-4
4,5,36,1,-5,-5
5,6,14,1,-4,-4
6,7,5,1,-3,-3
7,8,12,1,-2,-2
8,9,14,1,-1,-1
9,10,24,1,-2,-2
10,11,19,2,-4,-4
11,12,23,2,-6,-6
12,13,31,2,-8,-8
13,14,1,2,-6,-6
14,15,25,2,-8,-8
15,16,35,2,-10,-10
16,17,6,2,-8,-8
17,18,33,2,-10,-10
18,19,18,2,-8,-8
19,20,25,2,-10,-10
20,21,21,3,-13,-13
21,22,10,3,-10,-10
22,23,35,3,-13,-13
23,24,20,3,-16,-16
24,25,25,3,-19,-19
25,26,18,3,-16,-16
26,27,8,3,-13,-13
27,28,18,3,-10,-10
28,29,35,3,-13,-13
29,30,4,3,-10,-10
30,31,7,4,-6,-6
31,32,36,4,-10,-10
32,33,8,4,-6,-6
33,34,8,4,-2,-2
34,35,15,3,1,1
35,1,20,1,-1,0
36,2,14,1,0,1
Boule num, Coup, Num, Mise, Bilan, Bilan Total
0,1,22,1,-1,-1
1,2,30,1,-2,-2
2,3,24,1,-3,-3
3,4,22,1,-4,-4
4,5,36,1,-5,-5
5,6,14,1,-4,-4
6,7,5,1,-3,-3
7,8,12,1,-2,-2
8,9,14,1,-1,-1
9,10,24,1,-2,-2
10,11,19,2,-4,-4
11,12,23,2,-6,-6
12,13,31,2,-8,-8
13,14,1,2,-6,-6
14,15,25,2,-8,-8
15,16,35,2,-10,-10
16,17,6,2,-8,-8
17,18,33,2,-10,-10
18,19,18,2,-8,-8
19,20,25,2,-10,-10
20,21,21,3,-13,-13
21,22,10,3,-10,-10
22,23,35,3,-13,-13
23,24,20,3,-16,-16
24,25,25,3,-19,-19
25,26,18,3,-16,-16
26,27,8,3,-13,-13
27,28,18,3,-10,-10
28,29,35,3,-13,-13
29,30,4,3,-10,-10
30,31,7,4,-6,-6
31,32,36,4,-10,-10
32,33,8,4,-6,-6
33,34,8,4,-2,-2
34,35,15,4,2,2
35,1,20,1,-1,1
36,2,14,1,0,2
Boule num, Coup, Num, Mise, Bilan, Bilan Total
0,1,22,1,-1,-1
1,2,30,1,-2,-2
2,3,24,1,-3,-3
3,4,22,1,-4,-4
4,5,36,1,-5,-5
5,6,14,1,-4,-4
6,7,5,1,-3,-3
7,8,12,1,-2,-2
8,9,14,1,-1,-1
9,10,24,1,-2,-2
10,11,19,2,-4,-4
11,12,23,2,-6,-6
12,13,31,2,-8,-8
13,14,1,2,-6,-6
14,15,25,2,-8,-8
15,16,35,2,-10,-10
16,17,6,2,-8,-8
17,18,33,2,-10,-10
18,19,18,2,-8,-8
19,20,25,2,-10,-10
20,21,21,3,-13,-13
21,22,10,3,-10,-10
22,23,35,3,-13,-13
23,24,20,3,-16,-16
24,25,25,3,-19,-19
25,26,18,3,-16,-16
26,27,8,3,-13,-13
27,28,18,3,-10,-10
28,29,35,3,-13,-13
29,30,4,3,-10,-10
30,31,7,4,-6,-6
31,32,36,4,-10,-10
32,33,8,4,-6,-6
33,34,8,4,-2,-2
34,35,15,4,2,2
35,1,20,1,-1,1
36,2,14,1,0,2
Boule num, Coup, Num, Mise, Bilan, Bilan Total
0,1,22,1,1,1
1,1,30,1,1,2
2,1,24,1,1,3
3,1,22,1,1,4
4,1,36,1,1,5
5,1,14,1,-1,4
6,2,5,1,-2,3
7,3,12,1,-3,2
8,4,14,1,-4,1
9,5,24,1,-3,2
10,6,19,1,-2,3
11,7,23,1,-1,4
12,8,31,1,0,5
13,9,1,1,-1,4
14,10,25,1,0,5
15,11,35,2,2,7
16,1,6,1,-1,6
17,2,33,1,0,7
18,3,18,1,-1,6
19,4,25,1,0,7
20,5,21,1,1,8
21,1,10,1,-1,7
22,2,35,1,0,8
23,3,20,1,1,9
24,1,25,1,1,10
25,1,18,1,-1,9
26,2,8,1,-2,8
27,3,18,1,-3,7
28,4,35,1,-2,8
29,5,4,1,-3,7
30,6,7,1,-4,6
31,7,36,1,-3,7
32,8,8,1,-4,6
33,9,8,1,-5,5
34,10,15,1,-6,4
35,11,20,2,-4,6
36,12,14,2,-6,4
