Boule num, Coup, Num, Mise1, Bilan1, Mise2, Bilan2, Mise, Bilan, Total
0,1,22,1 Noir,1,1 Rouge,-1,0,0,0
1,2,30,1 Noir,-1,1 Rouge,0,0,0,0
2,3,24,1 Noir,0,2 Rouge,-2,1,-1,-1
3,4,22,2 Noir,2,2 Rouge,-4,0,-1,-1
4,5,36,1 Noir,-1,2 Rouge,-2,1,0,0
5,6,14,1 Noir,-2,3 Rouge,1,2,2,2
6,7,5,1 Noir (sécu),-1,1 Rouge (sécu),1,0,0,2
7,8,12,1 Noir,-2,1 Rouge,1,0,0,2
8,9,14,1 Noir,-3,1 Rouge,1,0,0,2
9,10,24,1 Noir,-2,1 Rouge,-1,0,0,2
10,11,19,2 Noir,-4,1 Rouge,0,1,-1,1
11,12,23,2 Noir,-6,2 Rouge,2,0,-1,1
12,13,31,2 Noir,-4,1 Rouge,-1,1,0,2
13,14,1,3 Noir,-7,1 Rouge,0,2,-2,0
14,15,25,3 Noir,-10,2 Rouge,2,1,-3,-1
15,16,35,3 Noir,-7,1 Rouge,-1,2,-1,1
16,17,6,4 Noir,-3,1 Rouge,-2,3,2,4
17,18,33,1 Noir (sécu),1,1 Rouge (sécu),-1,0,0,4
18,19,18,1 Noir,-1,1 Rouge,0,0,0,4
19,20,25,1 Noir,-2,2 Rouge,2,1,1,5
20,21,21,1 Noir (sécu),-1,1 Rouge (sécu),1,0,0,5
21,22,10,1 Noir,0,1 Rouge,-1,0,0,5
22,23,35,2 Noir,2,1 Rouge,-2,1,1,6
23,24,20,1 Noir (sécu),1,1 Rouge (sécu),-1,0,0,6
24,25,25,1 Noir,-1,1 Rouge,0,0,0,6
25,26,18,1 Noir,-2,2 Rouge,2,1,1,7
26,27,8,1 Noir (sécu),1,1 Rouge (sécu),-1,0,0,7
27,28,18,1 Noir,-1,1 Rouge,0,0,0,7
28,29,35,1 Noir,0,2 Rouge,-2,1,-1,6
29,30,4,2 Noir,2,2 Rouge,-4,0,-1,6
30,31,7,1 Noir,-1,2 Rouge,-2,1,0,7
31,32,36,1 Noir,-2,3 Rouge,1,2,2,9
32,33,8,1 Noir (sécu),1,1 Rouge (sécu),-1,0,0,9
33,34,8,1 Noir,1,1 Rouge,-2,0,0,9
34,35,15,1 Noir,1,1 Rouge,-3,0,0,9
35,36,20,1 Noir,1,1 Rouge,-4,0,0,9
36,37,14,1 Noir,-1,1 Rouge,-3,0,0,9
37,38,32,1 Noir,-2,2 Rouge,-1,1,1,10
38,39,3,1 Noir (sécu),-1,1 Rouge (sécu),1,0,0,10
39,40,9,1 Noir,-2,1 Rouge,1,0,0,10
40,41,6,1 Noir,-1,1 Rouge,-1,0,0,10
41,42,29,2 Noir,1,1 Rouge,-2,1,1,11
42,43,30,1 Noir (sécu),-1,1 Rouge (sécu),1,0,0,11
43,44,0,1 Noir,0,1 Rouge,1,0,0,11
44,45,23,1 Noir,-1,1 Rouge,1,0,0,11
45,46,35,1 Noir,0,1 Rouge,-1,0,0,11
46,47,16,2 Noir,-2,1 Rouge,0,1,-1,10
47,48,18,2 Noir,-4,2 Rouge,2,0,-1,10
48,49,3,2 Noir,-6,1 Rouge,1,1,-2,9
49,50,14,2 Noir,-8,1 Rouge,1,1,-3,8
50,51,23,2 Noir,-10,1 Rouge,1,1,-4,7
51,52,21,2 Noir,-12,1 Rouge,1,1,-5,6
52,53,33,2 Noir,-10,1 Rouge,-1,1,-4,7
53,54,6,3 Noir,-7,1 Rouge,-2,2,-2,9
54,55,9,4 Noir,-11,1 Rouge,-1,3,-5,6
55,56,30,4 Noir,-15,2 Rouge,1,2,-7,4
56,57,23,4 Noir,-19,1 Rouge,1,3,-10,1
57,58,21,4 Noir,-23,1 Rouge,1,3,-13,-2
58,59,21,4 Noir,-27,1 Rouge,1,3,-16,-5
59,60,1,4 Noir,-31,1 Rouge,1,3,-19,-8
60,61,32,4 Noir,-35,1 Rouge,1,3,-22,-11
61,62,3,4 Noir,-39,1 Rouge,1,3,-25,-14
62,63,24,4 Noir,-35,1 Rouge,-1,3,-22,-11
63,64,22,5 Noir,-30,1 Rouge,-2,4,-18,-7
64,65,9,6 Noir,-36,1 Rouge,-1,5,-23,-12
65,66,11,6 Noir,-30,2 Rouge,-3,4,-19,-8
66,67,16,7 Noir,-37,2 Rouge,-1,5,-24,-13
67,68,27,7 Noir,-44,3 Rouge,2,4,-28,-17
68,69,22,7 Noir,-37,1 Rouge,-1,6,-22,-11
69,70,36,8 Noir,-45,1 Rouge,0,7,-29,-18
70,71,29,8 Noir,-37,2 Rouge,-2,6,-23,-12
71,72,13,9 Noir,-28,2 Rouge,-4,7,-16,-5
72,73,24,10 Noir,-18,2 Rouge,-6,8,-8,3
73,74,11,11 Noir,-7,2 Rouge,-8,9,1,12
74,75,29,1 Noir (sécu),1,1 Rouge (sécu),-1,0,0,12
75,76,30,1 Noir,-1,1 Rouge,0,0,0,12
76,77,36,1 Noir,-2,2 Rouge,2,1,1,13
77,78,19,1 Noir (sécu),-1,1 Rouge (sécu),1,0,0,13
78,79,36,1 Noir,-2,1 Rouge,1,0,0,13
79,80,28,1 Noir,-1,1 Rouge,-1,0,0,13
80,81,13,2 Noir,1,1 Rouge,-2,1,1,14
81,82,10,1 Noir (sécu),1,1 Rouge (sécu),-1,0,0,14
82,83,18,1 Noir,-1,1 Rouge,0,0,0,14
83,84,2,1 Noir,0,2 Rouge,-2,1,-1,13
84,85,7,2 Noir,-2,2 Rouge,0,0,-1,13
85,86,26,2 Noir,0,3 Rouge,-3,1,-2,12
86,87,12,3 Noir,-3,3 Rouge,0,0,-2,12
87,88,26,3 Noir,0,4 Rouge,-4,1,-3,11
88,89,35,4 Noir,4,4 Rouge,-8,0,-3,11
89,90,15,1 Noir,1,4 Rouge,-12,3,-6,8
90,91,9,1 Noir,-1,4 Rouge,-8,3,-3,11
91,92,24,1 Noir,0,5 Rouge,-13,4,-7,7
92,93,26,2 Noir,2,5 Rouge,-18,3,-10,4
93,94,12,1 Noir,-1,5 Rouge,-13,4,-6,8
94,95,0,1 Noir,0,6 Rouge,-10,5,-9,5
95,96,4,1 Noir,1,6 Rouge,-16,5,-14,0
96,97,21,1 Noir,-1,6 Rouge,-10,5,-9,5
97,98,6,1 Noir,0,7 Rouge,-17,6,-15,-1
98,99,3,2 Noir,-2,7 Rouge,-10,5,-10,4
99,100,6,2 Noir,0,8 Rouge,-18,6,-16,-2
100,101,24,3 Noir,3,8 Rouge,-26,5,-21,-7
101,102,16,1 Noir,-1,8 Rouge,-18,7,-14,0
102,103,34,1 Noir,-2,9 Rouge,-9,8,-6,8
103,104,16,1 Noir,-3,10 Rouge,1,9,3,17
104,105,21,1 Noir (sécu),-1,1 Rouge (sécu),1,0,0,17
105,106,36,1 Noir,-2,1 Rouge,1,0,0,17
106,107,9,1 Noir,-3,1 Rouge,1,0,0,17
107,108,15,1 Noir,-2,1 Rouge,-1,0,0,17
108,109,29,2 Noir,0,1 Rouge,-2,1,1,18
109,110,20,1 Noir (sécu),1,1 Rouge (sécu),-1,0,0,18
110,111,1,1 Noir,-1,1 Rouge,0,0,0,18
111,112,36,1 Noir,-2,2 Rouge,2,1,1,19
112,113,25,1 Noir (sécu),-1,1 Rouge (sécu),1,0,0,19
113,114,17,1 Noir,0,1 Rouge,-1,0,0,19
114,115,31,2 Noir,2,1 Rouge,-2,1,1,20
115,116,10,1 Noir (sécu),1,1 Rouge (sécu),-1,0,0,20
116,117,27,1 Noir,-1,1 Rouge,0,0,0,20
117,118,8,1 Noir,0,2 Rouge,-2,1,-1,19
118,119,24,2 Noir,2,2 Rouge,-4,0,-1,19
119,120,27,1 Noir,-1,2 Rouge,-2,1,0,20
120,121,28,1 Noir,0,3 Rouge,-5,2,-2,18
121,122,31,2 Noir,2,3 Rouge,-8,1,-3,17
122,123,33,1 Noir,1,3 Rouge,-11,2,-5,15
123,124,7,1 Noir,-1,3 Rouge,-8,2,-3,17
124,125,12,1 Noir,-2,4 Rouge,-4,3,0,20
125,126,19,1 Noir,-3,5 Rouge,1,4,4,24
126,127,21,1 Noir (sécu),-1,1 Rouge (sécu),1,0,0,24
127,128,13,1 Noir,0,1 Rouge,-1,0,0,24
128,129,12,2 Noir,-2,1 Rouge,0,1,-1,23
129,130,12,2 Noir,-4,2 Rouge,2,0,-1,23
130,131,2,2 Noir,-2,1 Rouge,-1,1,0,24
131,132,9,3 Noir,-5,1 Rouge,0,2,-2,22
132,133,12,3 Noir,-8,2 Rouge,2,1,-3,21
133,134,21,3 Noir,-11,1 Rouge,1,2,-5,19
134,135,32,3 Noir,-14,1 Rouge,1,2,-7,17
135,136,2,3 Noir,-11,1 Rouge,-1,2,-5,19
136,137,31,4 Noir,-7,1 Rouge,-2,3,-2,22
137,138,11,5 Noir,-2,1 Rouge,-3,4,2,26
138,139,27,1 Noir (sécu),-1,1 Rouge (sécu),1,0,0,26
139,140,18,1 Noir,-2,1 Rouge,1,0,0,26
140,141,22,1 Noir,-1,1 Rouge,-1,0,0,26
141,142,19,2 Noir,-3,1 Rouge,0,1,-1,25
142,143,30,2 Noir,-5,2 Rouge,2,0,-1,25
143,144,22,2 Noir,-3,1 Rouge,-1,1,0,26
144,145,1,3 Noir,-6,1 Rouge,0,2,-2,24
145,146,20,3 Noir,-3,2 Rouge,-2,1,-1,25
146,147,11,4 Noir,1,2 Rouge,-4,2,1,27
147,148,10,1 Noir (sécu),1,1 Rouge (sécu),-1,0,0,27
