Boule num, Coup, Num, Mise1, Bilan1, Mise2, Bilan2, Mise, Bilan, Total
0,1,22,1 Noir,1,1 Rouge,-1,0,0,0
1,2,30,1 Noir,-1,1 Rouge,0,0,0,0
2,3,24,1 Noir,0,1 Rouge,-1,0,0,0
3,4,22,1 Noir,1,1 Rouge,-2,0,0,0
4,5,36,1 Noir,-1,1 Rouge,-1,0,0,0
5,6,14,1 Noir,-2,1 Rouge,0,0,0,0
6,7,5,1 Noir,-3,1 Rouge,1,0,0,0
7,8,12,1 Noir,-4,1 Rouge,1,0,0,0
8,9,14,1 Noir,-5,1 Rouge,1,0,0,0
9,10,24,1 Noir,-4,1 Rouge,-1,0,0,0
10,11,19,1 Noir,-5,1 Rouge,0,0,0,0
11,12,23,1 Noir,-6,1 Rouge,1,0,0,0
12,13,31,1 Noir,-5,1 Rouge,-1,0,0,0
13,14,1,1 Noir,-6,1 Rouge,0,0,0,0
14,15,25,2 Noir,-8,1 Rouge,1,1,-1,-1
15,16,35,2 Noir,-6,1 Rouge,-1,1,0,0
16,17,6,2 Noir,-4,1 Rouge,-2,1,1,1
17,18,33,2 Noir,-2,1 Rouge,-3,1,1,2
18,19,18,2 Noir,-4,1 Rouge,-2,1,-1,1
19,20,25,2 Noir,-6,1 Rouge,-1,1,-2,0
20,21,21,2 Noir,-8,1 Rouge,0,1,-3,-1
21,22,10,2 Noir,-6,1 Rouge,-1,1,-2,0
22,23,35,2 Noir,-4,1 Rouge,-2,1,-1,1
23,24,20,2 Noir,-2,1 Rouge,-3,1,0,2
24,25,25,3 Noir,-5,1 Rouge,-2,2,-2,0
25,26,18,3 Noir,-8,2 Rouge,0,1,-3,-1
26,27,8,3 Noir,-5,2 Rouge,-2,1,-2,0
27,28,18,3 Noir,-8,2 Rouge,0,1,-3,-1
28,29,35,3 Noir,-5,2 Rouge,-2,1,-2,0
29,30,4,3 Noir,-2,2 Rouge,-4,1,-1,1
30,31,7,3 Noir,-5,2 Rouge,-2,1,-2,0
31,32,36,3 Noir,-8,2 Rouge,0,1,-3,-1
32,33,8,3 Noir,-5,2 Rouge,-2,1,-2,0
33,34,8,3 Noir,-2,2 Rouge,-4,1,-1,1
34,35,15,4 Noir,2,2 Rouge,-6,2,1,3
35,36,20,1 Noir,1,3 Rouge,-9,2,-2,1
36,37,14,1 Noir,-1,3 Rouge,-6,2,0,3
37,38,32,1 Noir,-2,3 Rouge,-3,2,2,5
38,39,3,1 Noir,-3,3 Rouge,0,2,2,7
39,40,9,1 Noir,-4,3 Rouge,3,2,2,9
40,41,6,1 Noir,-3,1 Rouge,-1,0,0,9
41,42,29,1 Noir,-2,1 Rouge,-2,0,0,9
42,43,30,1 Noir,-3,1 Rouge,-1,0,0,9
43,44,0,1 Noir,-2,1 Rouge,0,0,0,9
44,45,23,1 Noir,-3,1 Rouge,1,0,0,9
45,46,35,1 Noir,-2,1 Rouge,-1,0,0,9
46,47,16,2 Noir,-4,1 Rouge,0,1,-1,8
47,48,18,2 Noir,-6,1 Rouge,1,1,-2,7
48,49,3,2 Noir,-8,1 Rouge,1,1,-3,6
49,50,14,2 Noir,-10,1 Rouge,1,1,-4,5
50,51,23,2 Noir,-12,1 Rouge,1,1,-5,4
51,52,21,2 Noir,-14,1 Rouge,1,1,-6,3
52,53,33,2 Noir,-12,1 Rouge,-1,1,-5,4
53,54,6,2 Noir,-10,1 Rouge,-2,1,-4,5
54,55,9,2 Noir,-12,1 Rouge,-1,1,-5,4
55,56,30,2 Noir,-14,1 Rouge,0,1,-6,3
56,57,23,3 Noir,-17,1 Rouge,1,2,-8,1
57,58,21,3 Noir,-20,1 Rouge,1,2,-10,-1
58,59,21,3 Noir,-23,1 Rouge,1,2,-12,-3
59,60,1,3 Noir,-26,1 Rouge,1,2,-14,-5
60,61,32,3 Noir,-29,1 Rouge,1,2,-16,-7
61,62,3,3 Noir,-32,1 Rouge,1,2,-18,-9
62,63,24,3 Noir,-29,1 Rouge,-1,2,-16,-7
63,64,22,3 Noir,-26,1 Rouge,-2,2,-14,-5
64,65,9,3 Noir,-29,1 Rouge,-1,2,-16,-7
65,66,11,3 Noir,-26,1 Rouge,-2,2,-14,-5
66,67,16,4 Noir,-30,1 Rouge,-1,3,-17,-8
67,68,27,4 Noir,-34,1 Rouge,0,3,-20,-11
68,69,22,4 Noir,-30,1 Rouge,-1,3,-17,-8
69,70,36,4 Noir,-34,1 Rouge,0,3,-20,-11
70,71,29,4 Noir,-30,1 Rouge,-1,3,-17,-8
71,72,13,4 Noir,-26,1 Rouge,-2,3,-14,-5
72,73,24,4 Noir,-22,2 Rouge,-4,2,-12,-3
73,74,11,4 Noir,-18,2 Rouge,-6,2,-10,-1
74,75,29,4 Noir,-14,2 Rouge,-8,2,-8,1
75,76,30,4 Noir,-18,2 Rouge,-6,2,-10,-1
76,77,36,5 Noir,-23,2 Rouge,-4,3,-13,-4
77,78,19,5 Noir,-28,2 Rouge,-2,3,-16,-7
78,79,36,5 Noir,-33,2 Rouge,0,3,-19,-10
79,80,28,5 Noir,-28,2 Rouge,-2,3,-16,-7
80,81,13,5 Noir,-23,2 Rouge,-4,3,-13,-4
81,82,10,5 Noir,-18,2 Rouge,-6,3,-10,-1
82,83,18,5 Noir,-23,3 Rouge,-3,2,-12,-3
83,84,2,5 Noir,-18,3 Rouge,-6,2,-10,-1
84,85,7,5 Noir,-23,3 Rouge,-3,2,-12,-3
85,86,26,5 Noir,-18,3 Rouge,-6,2,-10,-1
86,87,12,6 Noir,-24,3 Rouge,-3,3,-13,-4
87,88,26,6 Noir,-18,3 Rouge,-6,3,-10,-1
88,89,35,6 Noir,-12,3 Rouge,-9,3,-7,2
89,90,15,6 Noir,-6,3 Rouge,-12,3,-4,5
90,91,9,6 Noir,-12,3 Rouge,-9,3,-7,2
91,92,24,6 Noir,-6,3 Rouge,-12,3,-4,5
92,93,26,6 Noir,0,4 Rouge,-16,2,-2,7
93,94,12,6 Noir,-6,4 Rouge,-12,2,-4,5
94,95,0,6 Noir,-3,4 Rouge,-10,2,-5,4
95,96,4,6 Noir,3,4 Rouge,-14,2,-3,6
96,97,21,1 Noir,-1,4 Rouge,-10,3,0,9
97,98,6,1 Noir,0,4 Rouge,-14,3,-3,6
98,99,3,1 Noir,-1,4 Rouge,-10,3,0,9
99,100,6,1 Noir,0,4 Rouge,-14,3,-3,6
100,101,24,1 Noir,1,4 Rouge,-18,3,-6,3
101,102,16,1 Noir,-1,4 Rouge,-14,3,-3,6
102,103,34,1 Noir,-2,5 Rouge,-9,4,1,10
103,104,16,1 Noir,-3,5 Rouge,-4,4,4,14
104,105,21,1 Noir,-4,5 Rouge,1,4,4,18
105,106,36,1 Noir,-5,1 Rouge,1,0,0,18
106,107,9,1 Noir,-6,1 Rouge,1,0,0,18
107,108,15,1 Noir,-5,1 Rouge,-1,0,0,18
108,109,29,1 Noir,-4,1 Rouge,-2,0,0,18
109,110,20,1 Noir,-3,1 Rouge,-3,0,0,18
110,111,1,1 Noir,-4,1 Rouge,-2,0,0,18
111,112,36,2 Noir,-6,1 Rouge,-1,1,-1,17
112,113,25,2 Noir,-8,1 Rouge,0,1,-2,16
113,114,17,2 Noir,-6,1 Rouge,-1,1,-1,17
114,115,31,2 Noir,-4,1 Rouge,-2,1,0,18
115,116,10,2 Noir,-2,1 Rouge,-3,1,1,19
116,117,27,2 Noir,-4,1 Rouge,-2,1,-1,18
117,118,8,2 Noir,-2,2 Rouge,-4,0,-1,18
118,119,24,2 Noir,0,2 Rouge,-6,0,-1,18
119,120,27,2 Noir,-2,2 Rouge,-4,0,-1,18
120,121,28,2 Noir,0,2 Rouge,-6,0,-1,18
121,122,31,3 Noir,3,2 Rouge,-8,1,0,19
122,123,33,1 Noir,1,2 Rouge,-10,1,-1,18
123,124,7,1 Noir,-1,2 Rouge,-8,1,0,19
124,125,12,1 Noir,-2,2 Rouge,-6,1,1,20
125,126,19,1 Noir,-3,2 Rouge,-4,1,1,21
126,127,21,1 Noir,-4,2 Rouge,-2,1,1,22
127,128,13,1 Noir,-3,3 Rouge,-5,2,-2,20
128,129,12,1 Noir,-4,3 Rouge,-2,2,0,22
129,130,12,1 Noir,-5,3 Rouge,1,2,2,24
130,131,2,1 Noir,-4,1 Rouge,-1,0,0,24
131,132,9,1 Noir,-5,1 Rouge,0,0,0,24
132,133,12,1 Noir,-6,1 Rouge,1,0,0,24
133,134,21,2 Noir,-8,1 Rouge,1,1,-1,23
134,135,32,2 Noir,-10,1 Rouge,1,1,-2,22
135,136,2,2 Noir,-8,1 Rouge,-1,1,-1,23
136,137,31,2 Noir,-6,1 Rouge,-2,1,0,24
137,138,11,2 Noir,-4,1 Rouge,-3,1,1,25
138,139,27,2 Noir,-6,1 Rouge,-2,1,-1,24
139,140,18,2 Noir,-8,1 Rouge,-1,1,-2,23
140,141,22,2 Noir,-6,1 Rouge,-2,1,-1,24
141,142,19,2 Noir,-8,1 Rouge,-1,1,-2,23
142,143,30,2 Noir,-10,1 Rouge,0,1,-3,22
143,144,22,3 Noir,-7,1 Rouge,-1,2,-1,24
144,145,1,3 Noir,-10,1 Rouge,0,2,-3,22
145,146,20,3 Noir,-7,2 Rouge,-2,1,-2,23
146,147,11,3 Noir,-4,2 Rouge,-4,1,-1,24
147,148,10,3 Noir,-1,2 Rouge,-6,1,0,25
