Boule num, Coup, Num, Mise, Bilan, Bilan Total
0,1,22,1 Noir,1,1
1,1,30,1 Noir,-1,0
2,2,24,1 Noir,0,1
3,3,22,1 Noir (sécu),1,2
4,1,36,1 Noir,-1,1
5,2,14,1 Noir,-2,0
6,3,5,1 Noir,-3,-1
7,4,12,1 Noir,-4,-2
8,5,14,1 Noir,-5,-3
9,6,24,1 Noir,-4,-2
10,7,19,1 Noir,-5,-3
11,8,23,1 Noir,-6,-4
12,9,31,1 Noir,-5,-3
13,10,1,1 Noir,-6,-4
14,11,25,2 Noir,-8,-6
15,12,35,2 Noir,-6,-4
16,13,6,2 Noir,-4,-2
17,14,33,2 Noir,-2,0
18,15,18,2 Noir,-4,-2
19,16,25,2 Noir,-6,-4
20,17,21,2 Noir,-8,-6
21,18,10,2 Noir,-6,-4
22,19,35,2 Noir,-4,-2
23,20,20,2 Noir,-2,0
24,21,25,3 Noir,-5,-3
25,22,18,3 Noir,-8,-6
26,23,8,3 Noir,-5,-3
27,24,18,3 Noir,-8,-6
28,25,35,3 Noir,-5,-3
29,26,4,3 Noir,-2,0
30,27,7,3 Noir,-5,-3
31,28,36,3 Noir,-8,-6
32,29,8,3 Noir,-5,-3
33,30,8,3 Noir,-2,0
34,31,15,4 Noir,2,4
35,1,20,1 Noir,1,5
36,1,14,1 Noir,-1,4
37,2,32,1 Noir,-2,3
38,3,3,1 Noir,-3,2
39,4,9,1 Noir,-4,1
40,5,6,1 Noir,-3,2
41,6,29,1 Noir,-2,3
42,7,30,1 Noir,-3,2
43,8,0,1 Noir,-4,1
44,9,23,1 Noir,-5,0
45,10,35,1 Noir,-4,1
46,11,16,2 Noir,-6,-1
47,12,18,2 Noir,-8,-3
48,13,3,2 Noir,-10,-5
49,14,14,2 Noir,-12,-7
50,15,23,2 Noir,-14,-9
51,16,21,2 Noir,-16,-11
52,17,33,2 Noir,-14,-9
53,18,6,2 Noir,-12,-7
54,19,9,2 Noir,-14,-9
55,20,30,2 Noir,-16,-11
56,21,23,3 Noir,-19,-14
57,22,21,3 Noir,-22,-17
58,23,21,3 Noir,-25,-20
59,24,1,3 Noir,-28,-23
60,25,32,3 Noir,-31,-26
61,26,3,3 Noir,-34,-29
62,27,24,3 Noir,-31,-26
63,28,22,3 Noir,-28,-23
64,29,9,3 Noir,-31,-26
65,30,11,3 Noir,-28,-23
66,31,16,4 Noir,-32,-27
67,32,27,4 Noir,-36,-31
68,33,22,4 Noir,-32,-27
69,34,36,4 Noir,-36,-31
70,35,29,4 Noir,-32,-27
71,36,13,4 Noir,-28,-23
72,37,24,4 Noir,-24,-19
73,38,11,4 Noir,-20,-15
74,39,29,4 Noir,-16,-11
75,40,30,4 Noir,-20,-15
76,41,36,5 Noir,-25,-20
77,42,19,5 Noir,-30,-25
78,43,36,5 Noir,-35,-30
79,44,28,5 Noir,-30,-25
80,45,13,5 Noir,-25,-20
81,46,10,5 Noir,-20,-15
82,47,18,5 Noir,-25,-20
83,48,2,5 Noir,-20,-15
84,49,7,5 Noir,-25,-20
85,50,26,5 Noir,-20,-15
86,51,12,6 Noir,-26,-21
87,52,26,6 Noir,-20,-15
88,53,35,6 Noir,-14,-9
89,54,15,6 Noir,-8,-3
90,55,9,6 Noir,-14,-9
91,56,24,6 Noir,-8,-3
92,57,26,6 Noir,-2,3
93,58,12,3 Noir (sécu),-5,0
94,59,0,3 Noir,-7,-2
95,60,4,3 Noir,-4,1
96,61,21,4 Noir,-8,-3
97,62,6,4 Noir,-4,1
98,63,3,4 Noir,-8,-3
99,64,6,4 Noir,-4,1
100,65,24,4 Noir,0,5
101,66,16,1 Noir (sécu),-1,4
102,67,34,1 Noir,-2,3
103,68,16,1 Noir,-3,2
104,69,21,1 Noir,-4,1
105,70,36,1 Noir,-5,0
106,71,9,2 Noir,-7,-2
107,72,15,2 Noir,-5,0
108,73,29,2 Noir,-3,2
109,74,20,2 Noir,-1,4
110,75,1,2 Noir,-3,2
111,76,36,2 Noir,-5,0
112,77,25,2 Noir,-7,-2
113,78,17,2 Noir,-5,0
114,79,31,2 Noir,-3,2
115,80,10,2 Noir,-1,4
116,81,27,3 Noir,-4,1
117,82,8,3 Noir,-1,4
118,83,24,3 Noir,2,7
119,1,27,1 Noir,-1,6
120,2,28,1 Noir,0,7
121,3,31,1 Noir (sécu),1,8
122,1,33,1 Noir,1,9
123,1,7,1 Noir,-1,8
124,2,12,1 Noir,-2,7
125,3,19,1 Noir,-3,6
126,4,21,1 Noir,-4,5
127,5,13,1 Noir,-3,6
128,6,12,1 Noir,-4,5
129,7,12,1 Noir,-5,4
130,8,2,1 Noir,-4,5
131,9,9,1 Noir,-5,4
132,10,12,1 Noir,-6,3
133,11,21,2 Noir,-8,1
134,12,32,2 Noir,-10,-1
135,13,2,2 Noir,-8,1
136,14,31,2 Noir,-6,3
137,15,11,2 Noir,-4,5
138,16,27,2 Noir,-6,3
139,17,18,2 Noir,-8,1
140,18,22,2 Noir,-6,3
141,19,19,2 Noir,-8,1
142,20,30,2 Noir,-10,-1
143,21,22,3 Noir,-7,2
144,22,1,3 Noir,-10,-1
145,23,20,3 Noir,-7,2
146,24,11,3 Noir,-4,5
147,25,10,3 Noir,-1,8
