Boule num, Coup, Num, Mise, Bilan, Bilan Total
0,1,22,1 Noir,1,1
1,1,30,1 Noir,-1,0
2,2,24,1 Noir,0,1
3,3,22,1 Noir (sécu),1,2
4,1,36,1 Noir,-1,1
5,2,14,1 Noir,-2,0
6,3,5,1 Noir,-3,-1
7,4,12,1 Noir,-4,-2
8,5,14,1 Noir,-5,-3
9,6,24,1 Noir,-4,-2
10,7,19,2 Noir,-6,-4
11,8,23,2 Noir,-8,-6
12,9,31,2 Noir,-6,-4
13,10,1,3 Noir,-9,-7
14,11,25,3 Noir,-12,-10
15,12,35,3 Noir,-9,-7
16,13,6,4 Noir,-5,-3
17,14,33,5 Noir,0,2
18,15,18,1 Noir (sécu),-1,1
19,16,25,1 Noir,-2,0
20,17,21,1 Noir,-3,-1
21,18,10,1 Noir,-2,0
22,19,35,2 Noir,0,2
23,20,20,1 Noir (sécu),1,3
24,1,25,1 Noir,-1,2
25,2,18,1 Noir,-2,1
26,3,8,1 Noir,-1,2
27,4,18,2 Noir,-3,0
28,5,35,2 Noir,-1,2
29,6,4,3 Noir,2,5
30,1,7,1 Noir,-1,4
31,2,36,1 Noir,-2,3
32,3,8,1 Noir,-1,4
33,4,8,2 Noir,1,6
34,1,15,1 Noir,1,7
35,1,20,1 Noir,1,8
36,1,14,1 Noir,-1,7
37,2,32,1 Noir,-2,6
38,3,3,1 Noir,-3,5
39,4,9,1 Noir,-4,4
40,5,6,1 Noir,-3,5
41,6,29,2 Noir,-1,7
42,7,30,3 Noir,-4,4
43,8,0,3 Noir,-6,2
44,9,23,3 Noir,-9,-1
45,10,35,3 Noir,-6,2
46,11,16,4 Noir,-10,-2
47,12,18,4 Noir,-14,-6
48,13,3,4 Noir,-18,-10
49,14,14,4 Noir,-22,-14
50,15,23,4 Noir,-26,-18
51,16,21,4 Noir,-30,-22
52,17,33,4 Noir,-26,-18
53,18,6,5 Noir,-21,-13
54,19,9,6 Noir,-27,-19
55,20,30,6 Noir,-33,-25
56,21,23,6 Noir,-39,-31
57,22,21,6 Noir,-45,-37
58,23,21,6 Noir,-51,-43
59,24,1,6 Noir,-57,-49
60,25,32,6 Noir,-63,-55
61,26,3,6 Noir,-69,-61
62,27,24,6 Noir,-63,-55
63,28,22,7 Noir,-56,-48
64,29,9,8 Noir,-64,-56
65,30,11,8 Noir,-56,-48
66,31,16,9 Noir,-65,-57
67,32,27,9 Noir,-74,-66
68,33,22,9 Noir,-65,-57
69,34,36,10 Noir,-75,-67
70,35,29,10 Noir,-65,-57
71,36,13,11 Noir,-54,-46
72,37,24,12 Noir,-42,-34
73,38,11,13 Noir,-29,-21
74,39,29,14 Noir,-15,-7
75,40,30,15 Noir,-30,-22
76,41,36,15 Noir,-45,-37
77,42,19,15 Noir,-60,-52
78,43,36,15 Noir,-75,-67
79,44,28,15 Noir,-60,-52
80,45,13,16 Noir,-44,-36
81,46,10,17 Noir,-27,-19
82,47,18,18 Noir,-45,-37
83,48,2,18 Noir,-27,-19
84,49,7,19 Noir,-46,-38
85,50,26,19 Noir,-27,-19
86,51,12,20 Noir,-47,-39
87,52,26,20 Noir,-27,-19
88,53,35,1 Noir,-26,-18
89,54,15,2 Noir,-24,-16
90,55,9,3 Noir,-27,-19
91,56,24,3 Noir,-24,-16
92,57,26,4 Noir,-20,-12
93,58,12,5 Noir,-25,-17
94,59,0,5 Noir,-28,-20
95,60,4,5 Noir,-23,-15
96,61,21,6 Noir,-29,-21
97,62,6,6 Noir,-23,-15
98,63,3,7 Noir,-30,-22
99,64,6,7 Noir,-23,-15
100,65,24,8 Noir,-15,-7
101,66,16,9 Noir,-24,-16
102,67,34,9 Noir,-33,-25
103,68,16,9 Noir,-42,-34
104,69,21,9 Noir,-51,-43
105,70,36,9 Noir,-60,-52
106,71,9,9 Noir,-69,-61
107,72,15,9 Noir,-60,-52
108,73,29,10 Noir,-50,-42
109,74,20,11 Noir,-39,-31
110,75,1,12 Noir,-51,-43
111,76,36,12 Noir,-63,-55
112,77,25,12 Noir,-75,-67
113,78,17,12 Noir,-63,-55
114,79,31,13 Noir,-50,-42
115,80,10,14 Noir,-36,-28
116,81,27,15 Noir,-51,-43
117,82,8,15 Noir,-36,-28
118,83,24,16 Noir,-20,-12
119,84,27,17 Noir,-37,-29
120,85,28,17 Noir,-20,-12
121,86,31,18 Noir,-2,6
122,87,33,3 Noir (sécu),1,9
123,1,7,1 Noir,-1,8
124,2,12,1 Noir,-2,7
125,3,19,1 Noir,-3,6
126,4,21,1 Noir,-4,5
127,5,13,1 Noir,-3,6
128,6,12,2 Noir,-5,4
129,7,12,2 Noir,-7,2
130,8,2,2 Noir,-5,4
131,9,9,3 Noir,-8,1
132,10,12,3 Noir,-11,-2
133,11,21,3 Noir,-14,-5
134,12,32,3 Noir,-17,-8
135,13,2,3 Noir,-14,-5
136,14,31,4 Noir,-10,-1
137,15,11,5 Noir,-5,4
138,16,27,6 Noir (sécu),-11,-2
139,17,18,6 Noir,-17,-8
140,18,22,6 Noir,-11,-2
141,19,19,7 Noir,-18,-9
142,20,30,7 Noir,-25,-16
143,21,22,7 Noir,-18,-9
144,22,1,8 Noir,-26,-17
145,23,20,8 Noir,-18,-9
146,24,11,9 Noir,-9,0
147,25,10,10 Noir (sécu),1,10
