Boule num, Coup, Num, Mise, Bilan, Bilan Total
0,1,22,1,-1,-1
1,2,30,1,-2,-2
2,3,24,1,-3,-3
3,4,22,1,-4,-4
4,5,36,1,-5,-5
5,6,14,1,-4,-4
6,7,5,1,-3,-3
7,8,12,1,-2,-2
8,9,14,1,-1,-1
9,10,24,1,-2,-2
10,11,19,2,-4,-4
11,12,23,2,-6,-6
12,13,31,2,-8,-8
13,14,1,2,-6,-6
14,15,25,2,-8,-8
15,16,35,2,-10,-10
16,17,6,2,-8,-8
17,18,33,2,-10,-10
18,19,18,2,-8,-8
19,20,25,2,-10,-10
20,21,21,3,-13,-13
21,22,10,3,-10,-10
22,23,35,3,-13,-13
23,24,20,3,-16,-16
24,25,25,3,-19,-19
25,26,18,3,-16,-16
26,27,8,3,-13,-13
27,28,18,3,-10,-10
28,29,35,3,-13,-13
29,30,4,3,-10,-10
30,31,7,4,-6,-6
31,32,36,4,-10,-10
32,33,8,4,-6,-6
33,34,8,4,-2,-2
34,35,15,4,2,2
35,1,20,1,-1,1
36,2,14,1,0,2
