Boule num, Coup, Num, Mise, Bilan, Bilan Total
1,1,22,1 Noir,1,1,
2,1,30,1 Noir,-1,0,
3,2,24,2 Noir,1,2,
4,1,22,1 Noir,1,3,
5,1,36,1 Noir,-1,2,
6,2,14,2 Noir,-3,0,
7,3,5,3 Noir,-6,-3,
8,4,12,4 Noir,-10,-7,
9,5,14,5 Noir,-15,-12,
10,6,24,6 Noir,-9,-6,
11,7,19,5 Noir,-14,-11,
12,8,23,6 Noir,-20,-17,
13,9,31,7 Noir,-13,-10,
14,10,1,6 Noir,-19,-16,
15,11,25,7 Noir,-26,-23,
16,12,35,8 Noir,-18,-15,
17,13,6,7 Noir,-11,-8,
18,14,33,6 Noir,-5,-2,
19,15,18,5 Noir,-10,-7,
20,16,25,6 Noir,-16,-13,
21,17,21,7 Noir,-23,-20,
22,18,10,8 Noir,-15,-12,
23,19,35,7 Noir,-8,-5,
24,20,20,6 Noir,-2,1,
25,21,25,5 Noir,-7,-4,
26,22,18,6 Noir,-13,-10,
27,23,8,7 Noir,-6,-3,
28,24,18,6 Noir,-12,-9,
29,25,35,7 Noir,-5,-2,
30,26,4,6 Noir,1,4,
31,1,7,1 Noir,-1,3,
32,2,36,2 Noir,-3,1,
33,3,8,3 Noir,0,4,
34,4,8,2 Noir,2,6,
35,1,15,1 Noir,1,7,
36,1,20,1 Noir,1,8,
37,1,14,1 Noir,-1,7,
38,2,32,2 Noir,-3,5,
39,3,3,3 Noir,-6,2,
40,4,9,4 Noir,-10,-2,
41,5,6,5 Noir,-5,3,
42,6,29,4 Noir,-1,7,
43,7,30,3 Noir,-4,4,
44,8,0,4 Noir,-6,2,
45,9,23,5 Noir,-11,-3,
46,10,35,6 Noir,-5,3,
47,11,16,5 Noir,-10,-2,
48,12,18,6 Noir,-16,-8,
49,13,3,7 Noir,-23,-15,
50,14,14,8 Noir,-31,-23,
51,15,23,9 Noir,-40,-32,
52,16,21,10 Noir,-50,-42,
53,17,33,11 Noir,-39,-31,
54,18,6,10 Noir,-29,-21,
55,19,9,9 Noir,-38,-30,
56,20,30,10 Noir,-48,-40,
57,21,23,11 Noir,-59,-51,
58,22,21,12 Noir,-71,-63,
59,23,21,13 Noir,-84,-76,
60,24,1,14 Noir,-98,-90,
61,25,32,15 Noir,-113,-105,
62,26,3,16 Noir,-129,-121,
63,27,24,17 Noir,-112,-104,
64,28,22,16 Noir,-96,-88,
65,29,9,15 Noir,-111,-103,
66,30,11,16 Noir,-95,-87,
67,31,16,15 Noir,-110,-102,
68,32,27,16 Noir,-126,-118,
69,33,22,17 Noir,-109,-101,
70,34,36,16 Noir,-125,-117,
71,35,29,17 Noir,-108,-100,
72,36,13,16 Noir,-92,-84,
73,37,24,15 Noir,-77,-69,
74,38,11,14 Noir,-63,-55,
75,39,29,13 Noir,-50,-42,
76,40,30,12 Noir,-62,-54,
77,41,36,13 Noir,-75,-67,
78,42,19,14 Noir,-89,-81,
79,43,36,15 Noir,-104,-96,
80,44,28,16 Noir,-88,-80,
81,45,13,15 Noir,-73,-65,
82,46,10,14 Noir,-59,-51,
83,47,18,13 Noir,-72,-64,
84,48,2,14 Noir,-58,-50,
85,49,7,13 Noir,-71,-63,
86,50,26,14 Noir,-57,-49,
87,51,12,13 Noir,-70,-62,
88,52,26,14 Noir,-56,-48,
89,53,35,13 Noir,-43,-35,
90,54,15,12 Noir,-31,-23,
91,55,9,11 Noir,-42,-34,
92,56,24,12 Noir,-30,-22,
93,57,26,11 Noir,-19,-11,
94,58,12,10 Noir,-29,-21,
95,59,0,11 Noir,-35,-27,
96,60,4,12 Noir,-23,-15,
97,61,21,11 Noir,-34,-26,
98,62,6,12 Noir,-22,-14,
99,63,3,11 Noir,-33,-25,
100,64,6,12 Noir,-21,-13,
101,65,24,11 Noir,-10,-2,
102,66,16,10 Noir,-20,-12,
103,67,34,11 Noir,-31,-23,
104,68,16,12 Noir,-43,-35,
105,69,21,13 Noir,-56,-48,
106,70,36,14 Noir,-70,-62,
107,71,9,15 Noir,-85,-77,
108,72,15,16 Noir,-69,-61,
109,73,29,15 Noir,-54,-46,
110,74,20,14 Noir,-40,-32,
111,75,1,13 Noir,-53,-45,
112,76,36,14 Noir,-67,-59,
113,77,25,15 Noir,-82,-74,
114,78,17,16 Noir,-66,-58,
115,79,31,15 Noir,-51,-43,
116,80,10,14 Noir,-37,-29,
117,81,27,13 Noir,-50,-42,
118,82,8,14 Noir,-36,-28,
119,83,24,13 Noir,-23,-15,
120,84,27,12 Noir,-35,-27,
121,85,28,13 Noir,-22,-14,
122,86,31,12 Noir,-10,-2,
123,87,33,11 Noir,1,9,
124,1,7,1 Noir,-1,8,
125,2,12,2 Noir,-3,6,
126,3,19,3 Noir,-6,3,
127,4,21,4 Noir,-10,-1,
128,5,13,5 Noir,-5,4,
129,6,12,4 Noir,-9,0,
130,7,12,5 Noir,-14,-5,
131,8,2,6 Noir,-8,1,
132,9,9,5 Noir,-13,-4,
133,10,12,6 Noir,-19,-10,
134,11,21,7 Noir,-26,-17,
135,12,32,8 Noir,-34,-25,
136,13,2,9 Noir,-25,-16,
137,14,31,8 Noir,-17,-8,
138,15,11,7 Noir,-10,-1,
139,16,27,6 Noir,-16,-7,
140,17,18,7 Noir,-23,-14,
141,18,22,8 Noir,-15,-6,
142,19,19,7 Noir,-22,-13,
143,20,30,8 Noir,-30,-21,
144,21,22,9 Noir,-21,-12,
145,22,1,8 Noir,-29,-20,
146,23,20,9 Noir,-20,-11,
147,24,11,8 Noir,-12,-3,
148,25,10,7 Noir,-5,4,
