Boule num, Coup, Num, Mise1, Bilan1, Mise2, Bilan2, Mise, Bilan, Total
0,1,22,1 Noir,1,1 Rouge,-1,0,0,0
1,2,30,1 Noir,-1,1 Rouge,0,0,0,0
2,3,24,1 Noir,0,1 Rouge,-1,0,0,0
3,4,22,1 Noir,1,1 Rouge,-2,0,0,0
4,5,36,1 Noir,-1,1 Rouge,-1,0,0,0
5,6,14,1 Noir,-2,1 Rouge,0,0,0,0
6,7,5,1 Noir,-3,1 Rouge,1,0,0,0
7,8,12,1 Noir,-4,1 Rouge,1,0,0,0
8,9,14,1 Noir,-5,1 Rouge,1,0,0,0
9,10,24,1 Noir,-4,1 Rouge,-1,0,0,0
10,11,19,1 Noir,-5,1 Rouge,0,0,0,0
11,12,23,1 Noir,-6,1 Rouge,1,0,0,0
12,13,31,1 Noir,-5,1 Rouge,-1,0,0,0
13,14,1,1 Noir,-6,1 Rouge,0,0,0,0
14,15,25,2 Noir,-8,1 Rouge,1,1,-1,-1
15,16,35,2 Noir,-6,1 Rouge,-1,1,0,0
16,17,6,2 Noir,-4,1 Rouge,-2,1,1,1
17,18,33,1 Noir,1,1 Rouge,-1,0,0,1
18,19,18,1 Noir,-1,1 Rouge,0,0,0,1
19,20,25,1 Noir,-2,1 Rouge,1,0,0,1
20,21,21,1 Noir,-3,1 Rouge,1,0,0,1
21,22,10,1 Noir,-2,1 Rouge,-1,0,0,1
22,23,35,1 Noir,-1,1 Rouge,-2,0,0,1
23,24,20,1 Noir,0,1 Rouge,-3,0,0,1
24,25,25,1 Noir,-1,1 Rouge,-2,0,0,1
25,26,18,1 Noir,-2,1 Rouge,-1,0,0,1
26,27,8,1 Noir,-1,1 Rouge,-2,0,0,1
27,28,18,1 Noir,-2,1 Rouge,-1,0,0,1
28,29,35,2 Noir,0,1 Rouge,-2,1,1,2
29,30,4,1 Noir,1,1 Rouge,-1,0,0,2
30,31,7,1 Noir,-1,1 Rouge,0,0,0,2
31,32,36,1 Noir,-2,1 Rouge,1,0,0,2
32,33,8,1 Noir,-1,1 Rouge,-1,0,0,2
33,34,8,1 Noir,0,1 Rouge,-2,0,0,2
34,35,15,1 Noir,1,1 Rouge,-3,0,0,2
35,36,20,1 Noir,1,1 Rouge,-4,0,0,2
36,37,14,1 Noir,-1,1 Rouge,-3,0,0,2
Boule num, Coup, Num, Mise, Bilan, Bilan Total
0,1,22,1,1,1
1,1,30,1,1,2
2,1,24,1,1,3
3,1,22,1,1,4
4,1,36,1,1,5
5,1,14,1,-1,4
6,2,5,1,-2,3
7,3,12,1,-3,2
8,4,14,1,-4,1
9,5,24,1,-3,2
10,6,19,1,-2,3
11,7,23,1,-1,4
12,8,31,1,0,5
13,9,1,1,-1,4
14,10,25,1,0,5
15,11,35,2,2,7
16,1,6,1,-1,6
17,2,33,1,0,7
18,3,18,1,-1,6
19,4,25,1,0,7
20,5,21,1,1,8
21,1,10,1,-1,7
22,2,35,1,0,8
23,3,20,1,1,9
24,1,25,1,1,10
25,1,18,1,-1,9
26,2,8,1,-2,8
27,3,18,1,-3,7
28,4,35,1,-2,8
29,5,4,1,-3,7
30,6,7,1,-4,6
31,7,36,1,-3,7
32,8,8,1,-4,6
33,9,8,1,-5,5
34,10,15,1,-6,4
35,11,20,2,-4,6
36,12,14,2,-6,4
Boule num, Coup, Num, Mise1, Bilan1, Mise2, Bilan2, Mise, Bilan, Total
0,1,22,1 Passe,1,1 Manque,-1,0,0,0
1,2,30,1 Passe,1,1 Manque,-2,0,0,0
2,3,24,1 Passe,1,1 Manque,-3,0,0,0
3,4,22,1 Passe,1,1 Manque,-4,0,0,0
4,5,36,1 Passe,1,1 Manque,-5,0,0,0
5,6,14,1 Passe,-1,1 Manque,-4,0,0,0
6,7,5,1 Passe,-2,1 Manque,-3,0,0,0
7,8,12,1 Passe,-3,1 Manque,-2,0,0,0
8,9,14,1 Passe,-4,1 Manque,-1,0,0,0
9,10,24,1 Passe,-3,1 Manque,-2,0,0,0
10,11,19,1 Passe,-2,2 Manque,-4,1,-1,-1
11,12,23,1 Passe,-1,2 Manque,-6,1,-2,-2
12,13,31,1 Passe,0,2 Manque,-8,1,-3,-3
13,14,1,1 Passe,-1,2 Manque,-6,1,-2,-2
14,15,25,1 Passe,0,2 Manque,-8,1,-3,-3
15,16,35,2 Passe,2,2 Manque,-10,0,-3,-3
16,17,6,1 Passe,-1,2 Manque,-8,1,-2,-2
17,18,33,1 Passe,0,2 Manque,-10,1,-3,-3
18,19,18,1 Passe,-1,2 Manque,-8,1,-2,-2
19,20,25,1 Passe,0,2 Manque,-10,1,-3,-3
20,21,21,1 Passe,1,3 Manque,-13,2,-5,-5
21,22,10,1 Passe,-1,3 Manque,-10,2,-3,-3
22,23,35,1 Passe,0,3 Manque,-13,2,-5,-5
23,24,20,1 Passe,1,3 Manque,-16,2,-7,-7
24,25,25,1 Passe,1,3 Manque,-19,2,-9,-9
25,26,18,1 Passe,-1,3 Manque,-16,2,-7,-7
26,27,8,1 Passe,-2,3 Manque,-13,2,-5,-5
27,28,18,1 Passe,-3,3 Manque,-10,2,-3,-3
28,29,35,1 Passe,-2,3 Manque,-13,2,-5,-5
29,30,4,1 Passe,-3,3 Manque,-10,2,-3,-3
30,31,7,1 Passe,-4,4 Manque,-6,3,0,0
31,32,36,1 Passe,-3,4 Manque,-10,3,-3,-3
32,33,8,1 Passe,-4,4 Manque,-6,3,0,0
33,34,8,1 Passe,-5,4 Manque,-2,3,3,3
34,35,15,1 Passe,-6,4 Manque,2,3,3,6
35,36,20,2 Passe,-4,1 Manque,-1,1,1,7
36,37,14,2 Passe,-6,1 Manque,0,1,-1,6
Boule num, Coup, Num, Mise1, Bilan1, Mise2, Bilan2, Mise, Bilan, Total
0,1,22,1 Passe,1,1 Manque,-1,0,0,0
1,2,30,1 Passe,1,1 Manque,-2,0,0,0
2,3,24,1 Passe,1,1 Manque,-3,0,0,0
3,4,22,1 Passe,1,1 Manque,-4,0,0,0
4,5,36,1 Passe,1,1 Manque,-5,0,0,0
5,6,14,1 Passe,-1,1 Manque,-4,0,0,0
6,7,5,1 Passe,-2,1 Manque,-3,0,0,0
7,8,12,1 Passe,-3,1 Manque,-2,0,0,0
8,9,14,1 Passe,-4,1 Manque,-1,0,0,0
9,10,24,1 Passe,-3,1 Manque,-2,0,0,0
10,11,19,1 Passe,-2,2 Manque,-4,1,-1,-1
11,12,23,1 Passe,-1,2 Manque,-6,1,-2,-2
12,13,31,1 Passe,0,2 Manque,-8,1,-3,-3
13,14,1,1 Passe,-1,2 Manque,-6,1,-2,-2
14,15,25,1 Passe,0,2 Manque,-8,1,-3,-3
15,16,35,2 Passe,2,2 Manque,-10,0,-3,-3
16,17,6,1 Passe,-1,2 Manque,-8,1,-2,-2
17,18,33,1 Passe,0,2 Manque,-10,1,-3,-3
18,19,18,1 Passe,-1,2 Manque,-8,1,-2,-2
19,20,25,1 Passe,0,2 Manque,-10,1,-3,-3
20,21,21,1 Passe,1,3 Manque,-13,2,-5,-5
21,22,10,1 Passe,-1,3 Manque,-10,2,-3,-3
22,23,35,1 Passe,0,3 Manque,-13,2,-5,-5
23,24,20,1 Passe,1,3 Manque,-16,2,-7,-7
24,25,25,1 Passe,1,3 Manque,-19,2,-9,-9
25,26,18,1 Passe,-1,3 Manque,-16,2,-7,-7
26,27,8,1 Passe,-2,3 Manque,-13,2,-5,-5
27,28,18,1 Passe,-3,3 Manque,-10,2,-3,-3
28,29,35,1 Passe,-2,3 Manque,-13,2,-5,-5
29,30,4,1 Passe,-3,3 Manque,-10,2,-3,-3
30,31,7,1 Passe,-4,4 Manque,-6,3,0,0
31,32,36,1 Passe,-3,4 Manque,-10,3,-3,-3
32,33,8,1 Passe,-4,4 Manque,-6,3,0,0
33,34,8,1 Passe,-5,4 Manque,-2,3,3,3
34,35,15,1 Passe,-1,1 Manque,1,0,0,3
35,36,20,1 Passe,0,1 Manque,-1,0,0,3
36,37,14,1 Passe,-1,1 Manque,0,0,0,3
